疾病分類,疾病名稱,症狀,併發症,危險族群,科別,部位
兒科,熱痙攣,"發燒,抽搐,失去意識,四肢對稱性僵直,雙眼目光上吊,大小便失禁",熱痙攣本身不會對腦部或身體其他部位造成傷害，但需避免發作當下的意外傷害,null,小兒科、兒童神經科,全身
兒科,玫瑰疹,"高燒,焦躁不安,食慾不佳,反覆發燒,咳嗽；流鼻涕,輕微腹瀉,出疹,流鼻水,眼睛紅,喉嚨發炎,頭後方淋巴腺腫,抽筋","熱性痙攣,心肌炎,中耳炎",兩歲以下的嬰幼兒，無性別之分，尤以六個月到十八個月大的小朋友最常見。,"小兒科,皮膚科",皮膚
兒科,川崎病（川崎氏病）,"發燒,紅眼,嘴唇乾裂,舌頭紅腫,草莓舌,喉嚨發炎,喉嚨紅腫,四肢末稍浮腫(疾病早期),四肢末稍脫皮(疾病後期),頸部淋巴結腫大,皮膚紅疹","冠狀動脈炎,冠狀動脈瘤,冠狀動脈瘤破裂,心肌炎,心包膜炎,心律不整,心肌梗塞,心臟衰竭,死亡","5歲以下幼童，平均年齡為2歲，又男童的發病率高於女童。,亞洲人發生率較高，日本發生率居全球第1，台灣第3。,罹患川崎病的孩童，其兄弟姊妹的罹病風險也較一般人高。,父母有川崎病病史，孩子罹患川崎病的風險也較高。","小兒科,小兒感染科,小兒心臟科","皮膚,粘膜,淋巴"
兒科,小兒尿道感染,"膿尿,發燒,食慾不振,哭鬧,腹脹,腹瀉,頻尿,排尿疼痛,排尿灼熱感,尿急,腹痛,腰痛,生長遲緩,嘔吐,抽筋,排便習慣改變,尿失禁","腎臟纖維化,高血壓,慢性腎衰竭,敗血症,急性腎盂腎炎","嬰幼兒與兒童，女童較男童易感染。,有經常性便秘的兒童。,先天性泌尿道發育異常的兒童。",小兒科,泌尿系統
兒科,隱睪症,"陰囊內摸不到睪丸,陰囊發育差","疝氣,不孕症,睪丸癌,精索扭轉,睪丸纖維化",早產的男嬰。,"小兒科,小兒外科",睪丸
兒科,百日咳,"流鼻水,打噴嚏,咳嗽,哮咳,疲倦,發燒,食慾不振,咳嗽後嘔吐,呼吸暫停,發紺","肺炎,缺氧,呼吸中止,痙攣,抽搐,缺氧性腦症,腦部病變,營養失調,死亡","5歲以下幼童，又以6個月以下的嬰幼兒為高危險族群。,直接接觸或照顧病患者的醫護人員、家庭成員等。,學齡兒童及青少年。因百日咳疫苗抗體會隨時間加長而逐漸消失，估計僅能維持至學齡前。","小兒科,家醫科,呼吸胸腔科,感染科",呼吸道
兒科,猩紅熱,"發燒,喉嚨痛,頭痛,腹痛,皮疹,舌頭紅腫,臉部潮紅,扁桃腺發炎,頸部淋巴結腫痛,脫皮","中耳炎,肺炎,頸部淋巴腺炎,鼻竇炎,扁桃腺膿瘍,關節炎,腦膜炎,敗血症,毒性休克症候群,急性風濕熱,風濕性心臟病,急性腎絲球腎炎","5~15歲的兒童，小學年齡最常見，特別是處在人多擁擠的場所，如學校、幼稚園等。,家中有幼童感染時，易在兄弟姊妹間交互感染。","小兒科,家庭醫學科,耳鼻喉科,一般內科","皮膚,咽喉"
兒科,小兒麻痺,"發燒,倦怠,噁心,頭痛,肌肉疼痛,呼吸困難,頸部僵硬,吞嚥困難,肢體無力,肢體麻痺,肌肉萎縮","無菌性腦膜炎,癱瘓",5歲以下的兒童。,"小兒科,家醫科","肌肉,神經系統"
兒科,注意力不足過動症（ADHD）,"注意力不集中,過動,衝動,學習障礙,對立反抗與行為規範障礙,憂鬱症,抽搐,妥瑞氏症,躁鬱症,睡眠障礙","偏差行為,憂鬱,焦慮",null,"兒童心智科,兒童精神科",大腦前額葉
兒科,痱子,"發紅,起疹,騷癢,灼痛,刺痛,紅腫,膿疱,發炎,脫屑,化膿,糜爛,龜裂","細菌感染,黴菌感染,溼疹,毛囊炎,熱衰竭,汗腺炎","汗腺功能發育未全的嬰幼兒。,長期臥病在床的人。,經常處於悶熱環境中，或穿著密不透風制服的人，像是軍人、廚師等。,過於肥胖且體質虛弱的人。,大量流汗的人，如運動員、發高燒者。","皮膚科,小兒科",皮膚
兒科,雷氏症候群,"嘔吐,哭鬧,頭痛,意識混亂,嗜睡,抽搐,譫妄,過度換氣,昏迷","腦水腫,腦壓高,抽搐,癲癇,肝腫大,肝衰竭,智力障礙,肢體麻痹","2個月~16歲的幼童和青少年，成年人很少患有此病。,感染水痘或流行性感冒的孩童，若以阿斯匹靈退燒，會增加雷氏症候群的風險。","小兒科,小兒神經科,小兒腸胃科","腦部,肝臟"
兒科,兒童顱咽管瘤,"視力衰退,視野缺損,視神經萎縮,失明,生長發育遲緩,長不高,肥胖,性遲熟,性早熟,尿崩,嘔吐,視乳頭水腫,大頭（嬰幼兒）,頭痛","中樞性高熱,意識障礙,尿崩症,循環衰竭,癲癇,消化道出血,無菌性腦膜炎,視力障礙,腦下垂體功能低下",null,兒童神經外科、腦神經外科、腫瘤科,蝶鞍上及腦下垂體附近
兒科,先天性膽道閉鎖,"黃疸,灰白便,肝臟腫大,腹部腫脹,脾臟腫大,腹水,眼白變黃,厭食,嗜睡","肝硬化,腸扭轉不良,十二指腸前門靜脈,多脾臟,臟器反轉位,無下腔靜脈,肛門閉鎖,食道閉鎖,先天性心臟病,胃腸道出血",新生兒,"小兒科,胃腸肝膽科,小兒外科","肝,膽"
兒科,急性淋巴性白血病,"貧血,發燒,出血傾向,不明原因的體重減輕,淋巴腺或脾臟腫大,骨頭疼痛,腿骨及胸骨疼痛","癌細胞復發,癌細胞轉移,泛血球貧血症,敗血症,嚴重出血","具先天性疾病，如唐氏症、先天性免疫不全、先天性再生不良性貧血。,接觸化學物或放射線者，如病患、相關工作人士。",小兒或成人血液腫瘤科,骨髓
兒科,神經母細胞瘤,"症狀與腫瘤位置有關（如在肚子內、胸腔、脊髓內、腎上腺內，會引起不同症狀）,肚子腫大,呼吸困難,下肢麻痺,四肢無力,步態不穩,貧血,高血壓,頭痛,潮紅,盜汗","癌細胞轉移（骨髓、骨頭、肝臟、軟組織、遠處淋巴結、腦部、皮膚、肺臟、肝臟及皮膚）,淋巴結腫大,肝腫大,上眼瞼下垂,上下眼瞼附近之瘀斑（熊貓眼）",10歲以下幼童，約一半的腫瘤好發於二歲以下，男童多於女童。,血液腫瘤科,"腎上腺,神經"
兒科,脊髓性肌肉萎縮症,主要是對稱的進行性近端肌肉無力及萎縮。第一型患者，臨床表現為哭聲小、吸奶無力、呼吸費力及吞嚥困難，四肢及軀幹嚴重的軟弱無力。第二、三型患者則分別以肌肉無力、呼吸困難或榮利疲勞為主。,"感染(例如吸入性肺炎),胃食道逆流,呼吸衰竭,營養不良等","家族中有脊髓性肌肉萎縮症病史者。,若是夫妻雙方皆為帶原者，則新生兒患病機率為1/4。",小兒科、神經科、神經肌肉聯合照護門診,神經
兒科,輪狀病毒,"嘔吐,水瀉,發燒,腹痛,食慾不振,脫水,排尿減少,口乾舌燥,站立時感到頭暈,眼淚較少,嗜睡,煩躁","脫水,腎臟或肝臟等器官出現問題","5歲以下嬰幼兒,年長者,免疫力低下的成人",腸胃科、小兒科、家醫科、感染科,腸胃
泌尿腎臟,攝護腺癌,"排尿疼痛,排尿困難,頻尿,夜尿,血尿,性功能障礙,勃起困難,射精疼痛,漏尿,背痛,臀部痛,骨盆痛,尿流口徑減小,血精","癌細胞轉移（骨頭、骨髓、淋巴結、肺部、肝臟等）,下肢無力,大小便失禁,病理性骨折","50歲以上的男性。,有前列腺癌家族病史者。","血液腫瘤科,泌尿科",攝護腺
泌尿腎臟,腎結石,"腰痠背痛伴有血尿,頻尿,排尿困難,腹股溝疼痛","腎衰竭,慢性腎盂腎炎,輸尿管水腫,腎水腫,急性腎盂腎炎（甚至腎膿瘍）","30至50歲的男性。,少喝水、常憋尿。,有高胱胺酸症、黃嘌呤尿症、腎小管酸性中毒或原發性草酸鹽沈澱等家族史疾病的人。,痛風病人。","泌尿科,腎臟科",腎
泌尿腎臟,肝癌,"肝區疼痛,乏力,黃疸,腹水,體重減輕,食慾減退,上腹悶脹,噁心嘔吐,腹瀉,咳嗽,咳血,發燒,胸痛,呼吸困難","癌細胞轉移（肺臟、肝臟、腎臟、腦部、骨骼、胰臟、脾臟、橫膈、胃、結腸、網膜、卵巢）,門靜脈高血壓,頑固性腹水","有慢性肝炎病史者。,肝硬化之患者。,酒精性肝硬化，約佔肝癌15％。,少數因遺傳疾病色素性肝硬化或自體免疫性肝炎而引起。","血液腫瘤科,胃腸肝膽科",肝
泌尿腎臟,尿路結石,"腰痛,腎絞痛,腹痛,噁心,嘔吐,血尿,排尿困難,膿尿,發燒,畏寒","腎臟水腫,腎衰竭,尿路感染,腎臟發炎,血尿,敗血症,休克","30~50歲的中年人，男性多於女性。,長坐辦公桌的人。,習慣長時間憋尿的人。,慢性泌尿道感染的患者。,攝護腺肥大的患者。,副甲狀腺機能亢進的患者。,痛風患者。,高溫環境工作者。,家族病史有尿路結石者。",泌尿科,"腎臟,輸尿管,膀胱,尿道"
泌尿腎臟,攝護腺肥大,"排尿困難,排尿無力,頻尿,血尿,尿急,滴尿,尿流中斷,夜尿,疲倦,射精帶血","尿滯留,膀胱功能受損,尿毒症,膀胱結石,腎衰竭,尿路感染,腎水腫","45歲以上的中老年男性。,與遺傳基因有關。",泌尿科,攝護腺
泌尿腎臟,慢性腎臟病（慢腎）,null,"腎性高血壓：腎臟具有調節體液和電解質平衡，慢性腎臟病的病人因為腎功能下降，導致體液積聚，就會導致腎性高血壓。,腎性貧血：慢性腎臟病因為腎功能損傷，連帶導致腎臟所分泌的紅血球生成素減少，影響紅血球生成，引起腎性貧血。,尿毒症：當慢性腎臟病進展到晚期，腎功能完全喪失，身體無法排除廢物和毒素，形成尿毒症。,骨質疏鬆：腎臟功能減退可能影響鈣、磷、維生素D等骨骼代謝物質的平衡，容易出現骨質疏鬆的問題，增加骨折的風險。,高血鉀（高鉀血症）：腎臟是排除體內多餘鉀離子的主要器官，慢性腎臟病的病人會引為鉀排出較少，因而導致高血鉀，尤其在慢性腎臟病第五期（尿毒症）更容易緊急發生的急性問題，會導致心臟的傳導出問題，病人可能出現 肌肉無力和麻痺感、感覺異常、口唇發麻、心跳過緩、換氣過度等問題。血液中的鉀離子升高到7 meq/L時，會感覺心跳變慢、全身無力感，升高到8.0 meq/L時，就有心跳停止、猝死的風險。,心血管疾病：慢性腎臟病患者罹患心臟病和中風的風險較高，可能與高血壓、水腫和腎性貧血等因素有關，如果本身又有其他共病，例如糖尿病或高血脂時，就會增加心血管的風險。,腎性骨病變：慢性腎臟病因為腎臟損害可能導致鈣、磷等骨骼代謝物質的失衡，無法排除血中過多的磷容易引起高血磷，低血鈣和副甲狀腺素（iPTH）分泌增加，長期鈣磷不平衡，誘發副甲狀腺機能亢進，導致骨骼產生病變，稱為腎性骨病變。,感染：慢性腎臟病的病人可能導致免疫功能下降，增加感染性疾病的發生。","糖尿病：糖尿病如果血糖控制不佳，長期處於高血糖的情況下，容易造成周邊血管發生病變，不僅會影響進出腎臟的血流量，還會影響腎絲球的過濾功能，導致腎功能下降。,高血壓；血壓過高會影響腎臟排泄廢物及平衡水分的功能，同時長久還會增加傷害腎絲球的功能，引發腎病變。,痛風：痛風病人如果血液中的尿酸濃度過高時，尿酸會沈聚在腎組織，影響腎功能。,有家族腎臟病史者：尤其是多囊腎的病人，容易有家族史的傾向，家族中若有人患腎臟病，則得到腎臟病的機會較高。,老化：年滿六十五歲後，因為身體器官較易發生退化，腎功能也往往不如年輕時，需格外注意。,生活習慣不佳：如果有酗酒、抽菸、肥胖等不良生活習慣，高鹽飲食和血中膽固醇偏高，日積月累也都會累積傷害腎臟。,自體免疫疾病：部分自體免疫疾病也會攻擊腎臟，引起慢性腎臟病的可能，尤其是紅斑性狼瘡的病人。,長期使用止痛消炎藥，或標示不清的草藥或偏方，都會傷害腎功能。",腎臟科,腎
泌尿腎臟,疝氣,"病灶物有凸出物,有沉悶感,疼痛,噁心,嘔吐,腹脹,腸道阻塞","極少數的肺擴張不全,肺炎,靜脈栓塞,小便困難,膀胱受傷,睪丸受傷,輸精管受傷,手術局部出血,傷口發炎","男性,年長者,長期咳嗽,肥胖（腹肌較弱）,長期便秘者（腹腔壓力較大）,懷孕,家族病史",泌尿外科、一般外科,鼠蹊部、肚臍、其他腹壁位置
泌尿腎臟,攝護腺炎,"攝護腺痛,發冷,發燒,排尿困難,頻尿,血尿,尿道分泌物,尿急,會陰痛,下腹痛,鼠蹊部痛,倦怠,射精疼痛","反覆尿路感染,攝護腺膿瘍,性功能障礙,急性精囊炎,不孕症","30至50歲的男性。,長坐辦公室的上班族。,常憋尿的人。,有尿路感染病史的人。",泌尿科,攝護腺
泌尿腎臟,尿毒症（第五期慢性腎臟病）,"腸胃相關問題：病人容易會有噁心、嘔吐等問題，伴隨食欲不振，有時候患者還會出現不明原因的體重減輕，有時還可以發現消化道出血的問題。,神經相關問題：病人會有疲勞感，嚴重時會有出現認知功能障礙（包含思考與記憶的問題）。,皮膚問題：皮膚容易有搔癢的問題。,呼吸問題：因為體內累積較多的液體，水分較難排出，容易有呼吸短促的問題。,貧血問題（腎性貧血）：腎臟本身是製造紅血球生成球素的器官，當腎功能低下時，紅血球生成素分泌不足，就容易出現貧血而引發疲倦感。,呼吸帶有惡臭味，呼吸中會出現類似尿液的氣味或口腔中的金屬味,皮膚上可能會出現黃白色的晶體，因為汗液中的尿素導致皮膚上出現黃白色晶體。","跟電解質平衡有關的問題：病人可能會出現高血鉀、高血磷的問題：高血鉀會增加心血管疾病的風險；高血磷會刺激副甲狀腺激素的分泌，讓患者容易產生骨骼的問題（腎性骨病變）。因為腎臟無法排出體內過多的酸，容易引起代謝性酸中毒，嚴重會引起庫斯莫爾氏呼吸（Kussmaul's breathing），患者呼吸變深，持續惡化會有失去意識甚至死亡風險。,心血管相關的問題：因為血液中毒素不易排出，容易積聚在人體，也容易導致血管鈣化（硬化），所以各種心臟疾病也容易併發，常見的疾病有：冠狀動脈硬化、心臟衰竭、瓣膜性心臟病、心包膜積水和中風等。,肺水腫：因為腎功能低下，部分患者的水分可能會積累在肺臟，就有機會引起肺水腫。,尿毒性腦病變（腎性腦病）：由於毒素積累在腦部，導致腦功能下降，患者有可能會出現煩躁不安、肌肉顫動、幻覺等症狀，嚴重者還會出現嗜睡、昏迷等症狀。,其他：患者有可能出現營養不良或不孕等問題。","60歲以上的老年人。,長期服用止痛消炎藥的人。,腎臟病家族病史者、泌尿道結石的患者。,患有糖尿病、高血壓等慢性疾病者。",腎臟科,腎臟
泌尿腎臟,尿道炎,"排尿疼痛,灼熱感,分泌物增多,頻尿,血尿,下腹漲痛,發燒,尿液混濁,尿液惡臭","膀胱炎,腎盂炎,子宮頸炎,骨盆腔炎,攝護腺炎,睪丸炎,不孕症,輸卵管阻塞","多重性伴侶者。,女性較男性易得尿道炎。,懷孕的婦女。,糖尿病病患。,須使用導尿管的病患。,患有攝護腺肥大或攝護腺炎的男性。","泌尿科,婦產科,小兒科",尿道
泌尿腎臟,小兒尿道感染,"膿尿,發燒,食慾不振,哭鬧,腹脹,腹瀉,頻尿,排尿疼痛,排尿灼熱感,尿急,腹痛,腰痛,生長遲緩,嘔吐,抽筋,排便習慣改變,尿失禁","腎臟纖維化,高血壓,慢性腎衰竭,敗血症,急性腎盂腎炎","嬰幼兒與兒童，女童較男童易感染。,有經常性便秘的兒童。,先天性泌尿道發育異常的兒童。",小兒科,泌尿系統
泌尿腎臟,隱睪症,"陰囊內摸不到睪丸,陰囊發育差","疝氣,不孕症,睪丸癌,精索扭轉,睪丸纖維化",早產的男嬰。,"小兒科,小兒外科",睪丸
泌尿腎臟,間質性膀胱炎,"夜尿,頻尿,尿急,漏尿,下腹疼痛,焦慮,緊張","膀胱萎縮,膀胱纖維化,腎水腫,腎臟發炎,失眠,腎功能衰竭","30至40歲的女性。,容易焦慮緊張的人。,腸躁症患者。,有膀胱發炎病史者。,吸毒成癮者。","泌尿科,婦產科",膀胱
泌尿腎臟,勃起功能障礙（陽痿）,"陰莖無法勃起,勃起硬度不足,不射精,早洩,射精疼痛","攝護腺肥大,糖尿病,冠狀動脈性心臟病,憂鬱症,焦慮症","長期嚼食檳榔、吸菸、酗酒者。,有糖尿病、高血壓、高血脂、高血糖、腎臟病、肥胖、心血管疾病的患者。,前列腺疾病患者。,有長期壓力的人。,長期熬夜者。,40歲以上的男性。,容易緊張焦慮的人。",泌尿科,陰莖
泌尿腎臟,急性腎功能衰竭,"發燒,惡心,嘔吐,食慾不振,腸胃道不適,水腫,高血壓,呼吸急促,頭痛,抽搐,痙攣,神智混亂,昏睡,昏迷,脫水","慢性腎功能衰竭,休克,死亡","60歲以上的老年人。,患有糖尿病、高血壓、心臟病等疾病的人。",腎臟科,腎
泌尿腎臟,熱傷害,"肌肉痙攣,肌肉疼痛,暫時性暈厥,大量出汗,疲倦,身體全身無力,頭暈,頭痛,說話喘,血壓降低,臉色蒼白,體溫升高","休克,心臟衰竭,心跳停止,多重器官衰竭,橫紋肌溶解,瀰散性血管內凝血,瞻妄症,意識改變,癲癇,昏迷","需於高溫環境中工作的勞動者,年長者,兒童,慢性病患者（如心臟病、高血壓、糖尿病或腎臟病等）",急診科、家庭醫學科,全身
泌尿腎臟,腎絲球腎炎,"腰痛,腰酸,貧血,食慾不振,眼皮浮腫,下肢水腫,高血壓,疲倦,蛋白尿,血尿,少尿,視力減退,噁心,嘔吐,頭暈","尿毒症,慢性腎衰竭,急性腎衰竭,視網膜病變,腎病症候群","男性多於女性。,50歲以上的中老年族群。,高血壓患者。",腎臟科,腎
泌尿腎臟,出血性膀胱炎,"血尿,膀胱疼痛,膀胱痙攣,排尿疼痛","尿道阻塞,巨觀血尿,尿滯留","接受化學治療的病患。,膀胱腫瘤、攝護腺癌、子宮癌、子宮頸癌或直腸癌的患者。,接受骨盆放射線治療的病患。",泌尿科,膀胱
泌尿腎臟,腎盂腎炎,"腰痛,排尿疼痛,畏寒,發燒,頻尿,排尿灼熱,夜尿,尿急,噁心,嘔吐,膿尿,菌尿,血尿,蛋白尿","尿毒症,腎臟纖維化,腎結石,腎功能不全,敗血,休克,腎臟衰竭","先天或後天泌尿道結構異常患者。,糖尿病或免疫不全患者。,習慣性憋尿者。,女性。,使用尿管或接受侵入性泌尿道檢查的患者。","腎臟科,感染科",腎
泌尿腎臟,腎炎,"腰痛,膿尿,菌尿,發燒或伴有頻尿,尿急,排尿灼熱感,血尿,蛋白尿或伴有下肢水腫,眼皮浮腫,高血壓,夜尿,寡尿","腎功能不全（嚴重至尿毒症）,敗血症,休克","生育年齡的女性。,老人。,糖尿病、高血壓、痛風患者。,長期服用消炎止痛成藥、不明成分之中草藥物或偏方者。,有家族腎臟病史者。,有腎或泌尿道結石或結構異常者。",腎臟科,腎
泌尿腎臟,膀胱癌,"無痛血尿,頻尿,排尿困難,膀胱炎,尿路感染,膀胱出口阻塞,腎絞痛,體重減輕,腹痛,骨頭痛,貧血","癌細胞轉移（腹腔、淋巴結、骨骼、肺臟等器官）,腎衰竭","50歲到70歲的中老年男性。,家族病史有膀胱癌者。,美髮從業人員及經常染髮者。","血液腫瘤科,泌尿科",膀胱
泌尿腎臟,尿失禁,"漏尿,頻尿,急尿,解尿困難","尿布疹,泌尿道感染,蜂窩組織炎,失眠,憂鬱症","年齡較大的人。,自然產生過2胎以上的婦女。,生產時間較長的婦女。,胎兒體重超過3600公克以上的產婦。,中樞神經系統疾患者。,有長期咳嗽、氣喘、肺氣腫等慢性呼吸道疾病的人。,懷孕的婦女。,肥胖者。,患有泌尿道感染的人。","泌尿科,婦產科","膀胱,尿道"
泌尿腎臟,膀胱過動症,"尿急,頻尿,夜尿,漏尿","尿失禁,失眠,憂鬱症","40歲以上的女性。,自然產生過2胎以上的婦女。,肥胖者。,患有泌尿道感染的人。,糖尿病患、攝護腺肥大患者。,有飲酒習慣的人。","泌尿科,婦產科",膀胱
泌尿腎臟,腎囊腫,"腎臟疼痛,血尿,腰痛,腰部腫塊,發燒,倦怠,頻尿,蛋白尿,貧血","腎臟結石,尿毒症,心臟僧帽辦脫垂,高血壓,腦內血管瘤,肝臟囊腫,卵巢囊腫,胰臟囊腫,脾臟囊腫,肝門脈高壓,肝纖維化,腎積水","50歲以上中老年人。,腎衰竭患者。,接受洗腎的病患。,有家族遺傳病史的患者。",腎臟科,腎
泌尿腎臟,腎積水,"排尿不順,血尿,水腫,腰痠,腰痛,蛋白尿,貧血,疲倦","腎衰竭,敗血症,休克,急性腎盂腎炎,尿毒症,高血壓,腎結石","有攝護腺肥大的患者。,習慣長時間憋尿的人。,男性多於女性。",水腎症,腎
泌尿腎臟,輸精管阻塞,"無精子,射精疼痛,射精無力","不孕症,阻塞性無精症",null,泌尿科,輸精管
泌尿腎臟,包莖,"包皮粘黏,排尿增加,包皮紅腫,排尿困難,包皮腫大","陰莖發育不良,陰莖發炎,包皮炎,勃起困難,陰莖癌,排尿困難,膀胱炎,腎盂腎炎,前列腺炎,陰道炎","衛生習慣不佳者。,先天包皮、陰莖結構異常者。",泌尿科,"陰莖,包皮"
泌尿腎臟,睪丸炎,"發燒,發冷,無力,蛋白尿,睪丸紅腫,睪丸疼痛,陰囊腫脹","不孕症,陰囊積水","流行性腮腺炎的患者。,肺結核患者。,有攝護腺肥大、癌症或尿道狹管並合併泌尿道感染者。",泌尿科,"睪丸,副睪"
泌尿腎臟,睪丸扭轉,"睪丸疼痛,陰囊紅腫,噁心,嘔吐","丸萎縮,睪丸腫大,睪丸動靜脈栓塞,睪丸壞死,不孕症","12至18歲的男性。,2歲以下的新生兒及早產兒。",泌尿科,睪丸
泌尿腎臟,精索靜脈曲張,"睾丸疼痛,陰囊墜痛","睾丸萎縮,不孕症","15至35歲的男性。,精索靜脈構造不健全的人。",泌尿科,"陰囊,睾丸"
大腦與神經,失智症,"記憶障礙,語言障礙,行為重複,被害心理,算術能力喪失,迷路,日夜顛倒,憂鬱,幻覺,妄想,偏執,無法自我照顧,步伐不穩,個性改變,情緒不穩","憂鬱症,中風,腦血管二度病變,肺炎,泌尿系統感染,敗血症,骨折","六十五歲以上的高齡人士。,具有失智症家族病史的人，父母親或兄弟姊妹曾患有阿茲海默症等退化性失智症或血管性失智症，相對一般人病發的風險較高。,巴金森氏症患者，罹患失智症的風險較一般同齡者高。,罹患心血管疾病、高血壓、糖尿病、高膽固醇者，或曾有中風病史與家族史的人，引發血管性失智症的可能性也高。尤其中風患者是高危險群。,腦部曾受創傷或感染的人。,長期處於憂鬱，極少參與社交活動的人。,長期抽菸的人，認知功能退化的速度較快。","身心精神科,神經科,家醫科,老年醫學科",腦部
大腦與神經,不寧腿症候群,"睡眠中斷,睡不安穩,腿部不適,腿部感覺異常,腿部針刺感,腿部搔癢感,腿部牽拉感,腿部痛感,蟲爬感,雙腿抽動,雙腿麻痛","睡眠障癌,憂鬱症,心血管疾病,腦中風,高血壓,糖尿病,肥胖","代謝障礙：如腎功能不全、糖尿病、缺鐵性貧血的病患。,神經疾患：周邊神經病變者、偏頭痛、高位脊髓疾患、多發性硬化症、巴金森氏症。,藥物使用：如長期使用抗組織胺、抗精神病、抗癲癇藥物、抗憂鬱藥物或止吐藥物等。酒精使用也有相關。,遺傳因素：部分的不寧腿症候群患者，具有家族遺傳史。,懷孕媽媽。",神經科、胸腔內科（睡眠門診）,幾乎所有患者都有下肢症狀，分佈從足部、小腿、大腿均有可能；部分患者上肢也有症狀；少數患者有軀幹症狀。
大腦與神經,失語症,"說話詞不達意暢,說話（寫字）不流,說話文法錯誤,咬字不清晰,無法聽（讀）懂他人的意思,自言自語,聽不進他人的話語,無法言語,無法正確地使用詞彙",null,"腦中風患者,頭部外傷患者,腦瘤患者",神經內科、復健科,心理
大腦與神經,譫妄症,"反應遲鈍,注意力不集中,幻覺,記憶障礙,自我定位障礙,妄想,情緒不穩定,震顫,癲癇,胡言亂語,晝夜顛倒,失眠,失憶,昏睡","褥瘡,呼吸系統感染,泌尿系統感染,口腔潰瘍,角膜潰瘍","六十五歲以上高齡男性，且本身行動不便、營養不良、脫水、視覺或聽覺功能退化等狀況。,已帶有認知功能方面疾病的人，例如失智症、巴金森症患者。,過去曾有譫妄病史的人。,長期酗酒的人。,具有嚴重疾患、多重慢性病或服用多種藥物的。,接受大型手術住院病患，或長期待加護病房的病患。","身心精神科,老年醫學科",腦部
大腦與神經,巴金森氏症,"疲倦,肌肉痠痛,抽筋,手腳顫抖,肢體僵硬,無力,關節痛,彎腰曲背,動作遲緩,面無表情,口齒不清,音調呆板,吞嚥困難,缺乏平衡感,頭暈,便祕,胃脹,夜晚頻尿,排尿困難,多汗,心悸,皮膚潮紅,性功能障礙","褥瘡,骨折,腦膜下腔出血,失智症,憂鬱症,焦慮症,妄想症,異動症,肌張力不全,睡眠障礙,呼吸系統感染,肺炎,支氣管炎,腸胃炎,心功能衰竭,敗血症","中老年人，發生率隨年齡增加而遞增。六十歲以上發病人口占1%，七十至七十九歲再略增為1.5%。,家族成員中已有巴金森氏症病史的人。,生活或工作環境中受到錳及其他金屬汙染的人，如製鋼、焊接、電池工廠、印刷、木料染色、纖維漂白等。,暴露在使用農藥的耕作環境、或長期食用遭農藥汙染之食品的人。,頭部曾受嚴重外傷、感染病毒或細菌、長腦瘤的人，也容易產生類似巴金森症狀的現象。,吸食毒品或藥物濫用者。","神經科,復健科,老年醫學科","腦部,四肢"
大腦與神經,腦瘤,"頭痛,癲癇,抽搐,頭暈,噁心,嘔吐,視力模糊,肌肉協調感減退,平衡感變差,感覺異常,失語症,性格改變,神智不清,語言障礙,記憶力衰退","認知功能障礙,內分泌失調,腦水腫,神經功能減損,腦出血","3-12歲兒童,40-70歲成人,從事某些特定工作的人，例如頻繁接觸化學藥劑之從業人員、防腐劑處理人員、藥廠員工、加油站員工等,長期暴露於放射線環境中者",神經外科,腦部
大腦與神經,龐貝氏症,"四肢活動力差,頭部控制力差,心臟肥大,肝臟腫大,舌頭肥大,呼吸困難,呼吸系統受損,逐漸肌肉無力,行動時感到疲憊,心臟受損,呼吸短促,睡眠中呼吸暫停症候群,嗜睡,早晨性頭痛",─,罹病關鍵來自父母的基因。若父母雙方都是帶因者，生下的子女有25%的機率罹患龐貝氏症。,"需要跨科醫療含(小兒與成人)：,遺傳科,神經科,心臟科,胸腔科,胃腸肝膽科,骨科,復健科,耳鼻喉科",肌肉，不同部位的肌肉功能會因為疾病而逐漸退化。
大腦與神經,思覺失調症,"幻覺,幻聽,妄想,胡言亂語,言語片段,疏離人群,退縮,情感冷漠,攻擊,破壞,自殘,思考障礙,注意力無法集中,睡眠障礙","心血管疾病,肝病,糖尿病,發胖","好發於18-25歲之間，家族中已有精神分裂症病史的人。,體質異常者，體內多巴胺濃度高過正常值許多，導致腦內化學作用產生變異。,藥物及毒品濫用的人。,精神和情緒壓力過大的人。,在家庭成長背景中曾經歷嚴重問題的人，例如父母離異、過度情緒化的教育方式、家庭成員間的失和等。",身心精神科,腦部
大腦與神經,躁鬱症,"亢奮,易怒,不想睡,多話,失焦,激躁不安,情緒起伏大,情緒低落,疲倦,無力,無價值感,罪惡感,想自殺,注意力不集中,食慾改變","注意力不足過動症,失眠,飲食障礙症,溼疹,乾癬,甲狀腺疾病,腦炎","好發於年輕族群，十五至二十五歲之間的青少年。,家族病史或個人病史中已有罹患躁鬱症案例之人。,成長環境中壓力過大且缺乏社會支持的人。,早期人格發展經驗心理受創者，如父母離婚、驟逝、或曾受虐待、管教過嚴等。",身心精神科,腦部
